City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
383,falun,60.6036,15.626,-4.77,97,100,1.18,SE,1738566575
384,fort bragg,35.139,-79.006,7.91,85,100,0.0,US,1738566576
385,mount pearl,47.5166,-52.7813,-8.81,71,75,10.8,CA,1738566578
386,brisas de zicatela,15.8369,-97.0419,25.32,74,2,2.19,MX,1738566580
387,letlhakeng,-24.0944,25.0298,29.06,45,9,4.19,BW,1738566581
388,swakopmund,-22.6833,14.5333,17.87,85,45,1.77,NA,1738566582
389,northam,51.0333,-4.2167,7.67,94,100,2.77,GB,1738566583
390,rio grande,-32.035,-52.0986,24.01,89,1,4.82,BR,1738566569
391,sumenep,-7.0167,113.8667,28.43,76,100,8.13,ID,1738566585
392,leninskoye,41.7589,69.3864,3.37,43,0,0.68,KZ,1738566586
